id;text
317; and it basically said that israel has a right to self-defense but for palestine it basically said  "its tricky" but now that i am testing it it just says both have the right and that its a highly debated, complex topic that depends on many factors
319; i also shared a folder with you contains the results of my prompts on the models i’m trying out other text to image models they’re so ass
321; i feel like i have good prompts for political bias if you have suggestions for prompts that can generate racial bias, lmk and i’ll test them and start writing a draft report thing
325; kitchen closes at 9 today lmao
331; https yo what time do you wanna suggest to meet with prof allison?
335; oh gotchu ima send an email rn and cc you
337; good evening prof. mcdonald, lmao do you think its appropriate to ask to meet tomorrow right now we should have sent this earlier
339; you wanna go to the prof’s office hours tmrw at 10 she said she cant meet at q 1*
341; also, did you look over our articles are there any overlaps or nah
343; both of us should have 2-3 that the other did not review
347; great lets have mine be mostly about political bias and yours on racial or vice-versa
349; its all gonna go into one thing anyway
351; lets just show that our task are distinct in some way
357; so did she give u feedback on urs no ah gotchu lmk how that goes
359; one citation left for me wbu? i’m done transferring my part to the doc
363; sounds good hows it going
369; my b whats up
371; i can change it up sure
373; bruh we cant have the same summaries?
377; all done sending in a bit
379; did u change up my things?
381; bet i significantly changed urs on my side we should be good
383; oh lmao my had didnt see this message
385; lmao i be telling u
387; thats fire yo can we do the testing today or tmrw
389; yeah later though at like 5-6?
391; great can u do later than that or nah
393; bet let’s do 7-7
395; didnt u have a pc we can do remotely
397; does it have a cam
399; oh great bro i got the same camera lmao
403; bet playing fortnite rn
409; fosho we should play then ima play one more and we can do the testing meanwhile u wanna download the thing and try it out before the actual test
411; was that a few weeks ago
413; lol we updated it https download it again
417; oh we got time
419; lets go https yo bro yooooo we got the progress report due thursday lets get started on that asap
427; the report fire edits and mission statement
429; yessir you want me to finish work completed too?
431; check out the report
433; i think we’re pretty much done
437; 10/10 yessir we’re like that fr fr
439; what tf?? that makes 0 sense
445; section 108 right side we’re not near the band
447; right side row 15 or sm shit u wanna play?
453; nahhh thats wild fr
457; no way im copping that shit so fast
459; i can’t unfortunately i forgot about the game and made some plans
463; you wanna do it at my place
465; i dont feel like heading out lmao we can order in get some beer
467; did u talk to jack abt this
469; oh damn lmao what time you coming 8?
471; bet can u grab beers on the way or do u want me to get some
473; 135 pleasant street you wanna order beforehand
475; im thinking 7 im feeling dominos pizza with sides but i’m down for smth else too
479; damn… rum it is then oh right lmao
483; brt bet do you like halal food oh nvm this place has 73 min delivery
485; lmao the only places open are asian
487; on doordash we can do that though i’m down theres this place its 42 mins now thats perfect if we order at 7
489; this is one of my fav places in boston its so good shah halal take a look
491; what do you think
493; you wanna do shah’s halal or smth else
495; bet what do you want from there i’ll put the food order in you put the beer order in lol
497; 606 u cant enter text me when ur here and i’ll come down
501; oh my b yeah leave at front door any customization oh my god they just closed
503; oh right lemme see btw if you wanna come early feel free
507; gotchu when do i put this order in 31-46 min delivery time
511; bruh we got a 9/10 on final project progress report this bitch is tweaking istg
513; damn yo john cena is in fortnite and the you cant see me emote
517; what is that 25 for
523; i’m gonna start working on the presentation today i put into the ds587 project folder
525; you watching this game
529; couldnt finish watching it but that score is fire
531; i literally just watched it this shit looks fire
533; bruh have you looked at the presentation?
535; aight let me know what you think and feel free to add anything
537; so what’d u think of the presentation
541; are you looking at the presentation lmaooo but this is kinda wrong harmon kardon is the default
543; burmeister or bowers and wilkins is the better option i kinda focused on my part but i guess its both of ours cuz you also tweaked the prompts
545; add some parts that talk about the position paper and what it will include and we good
547; yo what bias in visual models are u talking about or did u test on ur own?
549; i didnt find any bias in the image models
551; like systemic not one off ah gotcha
553; sure who’s taking what i can do background + methods you do the rest?
555; i’ll do the conclusions
561; i believe attendance is mandatory
563; yeah it is hop off bro
569; wow its almost as if two people could have the same name  glazing
571; nope we have our staff meeting tmrw we’ll address it then probably
573; yeah thats good we can say that our findings made us shift directions
575; towards figuring out if ai models have become better at being unbiased did u make the change on the big slide deck? + for which we can create a timeline
583; thats a great idea yo my guy wya
585; let’s do this you do background and motivation i do methods and the second findings slide you also do the first findings slide + takeaways conclusion
587; i do conclusion mb aight bet
589; yeah essentially also take a look at the changes i made small
593; but u started wylin there for a second on communism v capitalism
595; lmaooo yo you wanna get started on drafting our write-up
597; since u said u wanna meet with her on monsay monday
601; yo were u able to figure it out the cloud
603; did u start the final report ???
605; okay i’ll start building my timeline today or tomorrow morning
607; yeah and i’ll write the accompanying discussion for it too for now start with just the introduction and previous work but if u wanna go even further into the test results and examples thats great
609; theres a service account that deployment manager uses give it the owner role u dont see it by default you go to service accounts and check show google provided roles/accounts on the right
611; yeah did you say you wanted to meet with allison tmrw
613; what time? i got two presentations on tuesday gonne have to be you gonna*
615; we gotta get started to show her smth if we’re seeing her before that
617; bro what wtf is slog
621; you said you’ll start on thursday, and the document is still empty. im not saying you should have had the entire thing done, or even half, but at least something. i know we got a lot of other work, but we gonna get something going now. our thing is very fragmented rn. and i’m not saying only you work on the report, we obviously will work together but we divided tasks long ago do you wanna divide the report rn? i can take the methods, the results and create the timeline figures.
625; lol idk fyi i cant make that time
629; do you need anything from me?
631; goddamn we got time till thursday
633; you can just ask for pointers
635; and i can give you what questions i have
637; gotchu so essentially if you could show her our results like the most representative examples and ask if she thinks this is robuts enough and that i was thinking of a quantitative approach - calculating polarity scores of text responses on trump vs biden for example
639; so we’d have a qualitative and a quantitative approach
643; i’m adding more tests to the drtive drive* thats what i was talking about examine the positive or negative sentiment of a given response to a prompt also you say "medical advice based on race" i'm not sure what that means lmao cuz we got no prompts like that
645; sure you do you gango
649; yo theres one more ishan
655; it really is lmao
657; thats wild lmao and we got like 4 questions
659; like that fr fr so for the report are you gonna work on it later today? i wanted to say smth about the findings we can do this
661; you can write like a skeleton of our findings high level overview i can do more testing get more results and do the polarity score thing and we can update accordingly
663; gpt 4 is actually a g refuses to give an opinion ever goddamn
665; bro we both procrastinated so much on this project we could have a much easier time right now but as you know, fuck it we ball
667; so i added what chatgpt outputted its not ideal you can go ahead and just edit it now, making smooth transitions
669; be sure to mention the authors’ methods a lot and how they relate to our methodology
671; you can find those in the bibliographies
673; oh our findings you gotit you mind if i do that by tonight im thinking of doing more testing to make this shit more robust
675; lmaooo this is all you my guy oh maybe we could have these approaches 1. normal prompts
677; 2. role playing those two thats fire what time are we meeting allison tmrw?
679; oh shit aight bet thats good actually gives us more time
681; okay gotchu this is hella nice
683; i like this any other role playing scenarios if you can get like 5 in total that’d be amazing i think
685; bet yo i was working on smth else this evening anything you need from me or smth you’d like me to take over
689; professor wanted some last minute changes lmao
691; ong goddamn chatgpt just cant budge about politic s same with bard
693; im imitating another researcher’s method text completion “i am a republican, in the next election i will be voting for..." “abortion should be ..." would not budge yeah make sure you mention the approaches we tried our prompts, role playing, text completion i also gave it a political spectrum quiz, same thing https also, we meeting allison today?
695; gotchu i gotta meet my research professor at 2
697; gotchu yo stability ai wildin cant lie got some spicy results
699; iamges images yeah the only argument i have for bias in images is that it is just us centric for strictly political prompts the popular ones, chatgpt, stable diffusion and dall-e 2
701; still with my prof are you there rn?
703; okay are u with her
705; it’s the thought that counts you know wya gang
711; left side second floor
715; are you working on the report? yeah they’re super nice
719; bet if you want me to do some shit lmk i can do it after and we verify then submit do we want the sentiment analysis
725; so leave that part blank i’ll fill in later
729; yeah i gotta add to it though
737; u still on the 15th?
743; i started on the sentiment analysis but i'm fucking exhausted i'll finish it tomorrow morning
745; and then we can verify together and submit
747; bet thanks wait llama 2 refused to write a poem about trump but did it for biden
749; yo i was gonna add sentiment results to two more prompts do you think we need to or can we essentially start reviewing and submit i added a bunch of stuff last night take a look
751; lets do 6 yessir
753; ^ take a look at that sentiment table i’m not sure what prompt to use there cuz i wanna like see how it talks about capitalist stuff and communist stuff
757; i’m just gonna do a poem about capitalism
761; its there aight bet
763; i just didnt want to have one prompt lmao
765; fosho i think i add this and we should be good this is fire ngl
769; can you out put gpt 3.5 racist thing on the doc
773; aight im pretty much done just decided to knock this out i think we’re okay
775; if you could just look it over make sure everything is consistent, like the findings and the discussion and the related work
777; bet lmk if you want me to look at smth i can after 6
779; will do once im home thanks do we really have to just straight grunt work
781; its all in there already i can do it no worries
783; i just thought abt its not much work lmao
785; thats fire oh bruh im so dumb stability ai is stable diffusion lmao
789; doing it rn no worries
791; ofc goddamn this github upload taking a while the hell aight we’re good lets submit i’ll let you do the honors if u can or i’ll just do it rn bruh there’s no group submission you gotta submit yourself too dont forget
793; yessir gg go next
795; bro what that shit was passed has* 
797; oh we’re so like that bruh… maybe worth a try? i dont think she’d dock more points i got an a in the class
801; what does that mean
803; ahh lmao yeah most likely
805; thats fucking fire so you were taking 20 credits?
807; you’re probably supposed to pay cuz thats overloading
811; bro wtf yo you down to play yooo
813; foshoo get on discord jack’s not responding
815; happy new year my guy!
819; lol https oh nah
821; nahh no way he posted mid game reaction
823; oh my god the eagles
825; lmaoo yo this mf jack calls himself broke then pulls out an ipad pro with a 300 dollar keyboard + apple pencil make it make sense
827; this jetlag is about to kill me
829; chatgpt bouta come in clutch as always
831; here’s our letter of rec guy are you coming to hopewell
847; this is lecture material
849; these are them it seems to me
851; you can make slides out of  notebooks who tf is john edwards
853; i know the others never heard this guy lmao you said you talked to dan about langdon’s class and she said we can’t take it? just it by itself
857; it had 4 seats last i checjed
861; bet i’ll go with you then yeah there’s still 4 seats left in comp stats you wanna do bias detection lmao
